State,Consumption,Production,Status
AK,"500-2,000","500-2,000",Neither
AL,"500-2,000","500-2,000",Neither
AR,"500-2,000","500-2,000",Neither
AZ,"500-2,000","500-2,000",Neither
CA,"2,000-7,500","500-2,000",Importer
CO,"500-2,000",">7,500",Exporter
CT,"500-2,000",<500,Importer
DC,<500,<500,Neither
DE,<500,<500,Neither
FL,"2,000-7,500","2,000-7,500",Neither
GA,"2,000-7,500","2,000-7,500",Neither
HI,<500,<500,Neither
IA,"500-2,000","500-2,000",Neither
ID,"500-2,000",<500,Importer
IL,"2,000-7,500","2,000-7,500",Neither
IN,"2,000-7,500","500-2,000",Importer
KS,"500-2,000","500-2,000",Neither
KY,"500-2,000","500-2,000",Neither
LA,"2,000-7,500","2,000-7,500",Neither
MA,"500-2,000","500-2,000",Neither
MD,"500-2,000",<500,Importer
ME,<500,<500,Neither
MI,"2,000-7,500","2,000-7,500",Neither
MN,"500-2,000",<500,Importer
MO,"500-2,000",<500,Importer
MS,"500-2,000",<500,Importer
MT,<500,"500-2,000",Exporter
NC,"2,000-7,500","500-2,000",Importer
ND,"500-2,000",">7,500",Exporter
NE,"500-2,000",<500,Importer
NH,<500,<500,Neither
NJ,"2,000-7,500",<500,Neither
NM,"500-2,000","2,000-7,500",Exporter
NV,"500-2,000",<500,Neither
NY,"2,000-7,500","500-2,000",Importer
OH,"2,000-7,500","2,000-7,500",Neither
OK,"500-2,000","2,000-7,500",Exporter
OR,"500-2,000",<500,Importer
PA,"2,000-7,500",">7,500",Exporter
RI,<500,<500,Neither
SC,"500-2,000",<500,Importer
SD,<500,<500,Neither
TN,"2,000-7,500",<500,Importer
TX,">7,500",">7,500",Neither
UT,"500-2,000","500-2,000",Neither
VA,"2,000-7,500","500-2,000",Importer
VT,<500,<500,Neither
WA,"500-2,000","500-2,000",Neither
WI,"500-2,000",<500,Importer
WV,"500-2,000","2,000-7,500",Exporter
WY,<500,"2,000-7,500",Exporter
